GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B1R001,B1R002,B1R003,B1R004,B1R005,B1R006,B1R007,B1R008,B1R009,B1R010,B1R011,B1R012,B1R013,B1R014,B1R015,B1R016,B1R017,B1R018,B1R019,B1R020,B1R021,B1R022,B1R023,B1R024,B1R025,B1R026,B1R027,B1R028,B1R029,B1R030,B1R031,B1R032,B1R033,B1R034,B1T001,B1T002,B1U001,B1U002,B1W001,B1W002,B1W003,B1W004,B1W005,B1W006,B1W007,B1W008,B1W009,B1W010,B1W011,B1W012,B1W013,B1W014,B1W015,B1W016,B1W017,B1W018,B1W019,B1W020,B1W021,B1W022,B1W023,B1W024,B1W025,B1W026,B1W027,B1W028,B1W029,B1W030,B1W031,B1W032,B1W033,B1W034,B1W035,B1W036,B1W037,B1W038,B1W039,B1W040,B1W041,B1W042,B1W043,B1W044,B1W045,B1W046,B1W047,B1W048,B1W049,B1W050,B1W051,B1W052,B1W053,B1W054,B1W055,B1W056,B1W057,B1W058,B1W059,B1W060,B1W061,B1W062,B1W063,B1W064,B1W065,B1W066,B1W067,B1W068,B1Z001,B1Z002,B1Z003,B1Z004
"G370","1950","North Carolina","370",,"North Carolina",347092,296896,263781,260307,262554,258723,230210,217367,186969,154835,132416,108944,87505,74655,49955,44447,6465,154540,131703,117711,105411,93772,83392,71559,71928,58031,48675,40683,28992,22636,22785,13290,11253,2447,2983121,1078808,1761330,549741,177141,151679,134215,133327,132592,128589,114238,107613,92216,76005,64961,53269,42299,35218,23539,20299,2640,169951,145217,129566,126980,129962,130134,115972,109754,94753,78830,67455,55675,45206,39437,26416,24148,3825,77559,65695,59030,51793,44122,40120,34217,34332,27990,23128,19843,14581,11247,10757,6469,5395,987,76981,66008,58681,53618,49650,43272,37342,37596,30041,25547,20840,14411,11389,12028,6821,5858,1460,1489840,1493281,527265,551543
"G380","1950","North Dakota","380",,"North Dakota",73536,60805,52698,50059,47017,43805,41826,41348,37471,32458,29296,26856,23630,19566,13215,12654,2208,1872,1684,1581,1154,801,695,581,532,487,412,351,261,224,249,127,123,54,608448,11188,361871,4719,37438,30956,26866,25245,24152,23038,21906,21621,19903,17097,15533,14484,12737,10618,7404,7003,1152,36098,29849,25832,24814,22865,20767,19920,19727,17568,15361,13763,12372,10893,8948,5811,5651,1056,961,894,816,559,408,347,297,264,273,221,187,131,118,152,64,70,29,911,790,765,595,393,348,284,268,214,191,164,130,106,97,63,53,25,317153,291295,5791,5397
"G390","1950","Ohio","390",,"Ohio",790352,614990,510657,470750,549805,613066,576688,542274,496044,443287,419967,387617,329987,269450,191203,189299,32786,56397,42874,38324,35353,45104,50537,44165,43094,36758,34525,28969,21225,14843,12355,6742,5902,1238,7428222,518405,4942126,337635,403810,313342,259912,230862,262435,296374,282200,266551,246025,220065,209226,194691,165868,130915,90916,86036,13159,386542,301648,250745,239888,287370,316692,294488,275723,250019,223222,210741,192926,164119,138535,100287,103263,19627,28212,21254,19015,16829,21058,24113,21153,20846,18340,17613,15374,11557,7848,6201,3320,2896,518,28185,21620,19309,18524,24046,26424,23012,22248,18418,16912,13595,9668,6995,6154,3422,3006,720,3672387,3755835,256147,262258
"G400","1950","Oklahoma","400",,"Oklahoma",214778,189498,167889,160949,152210,155229,140808,142237,135376,120340,104596,92593,78306,68146,49742,51499,8330,25680,21724,19812,17923,14212,13444,11954,12772,12052,11375,9392,7883,6397,7114,4249,4000,842,2032526,200825,1269450,112658,109644,96961,85867,81549,75823,77041,69334,69472,67120,59390,52192,45841,38792,33577,24817,25831,4072,105134,92537,82022,79400,76387,78188,71474,72765,68256,60950,52404,46752,39514,34569,24925,25668,4258,12815,10896,10136,8775,6796,6313,5482,5845,5579,5435,4625,4028,3242,3497,2189,2179,400,12865,10828,9676,9148,7416,7131,6472,6927,6473,5940,4767,3855,3155,3617,2060,1821,442,1017323,1015203,98232,102593
"G410","1950","Oregon","410",,"Oregon",160940,129465,106049,94916,103023,115353,114768,115517,104010,91865,85015,77022,67517,53866,36736,34669,6397,2975,2131,2091,1822,2047,2353,2032,1844,1565,1363,1103,821,713,589,359,310,95,1497128,24213,986848,14868,82091,66127,54392,46776,50424,56759,56886,58363,53499,47715,44141,39971,35579,28110,18847,16963,2960,78849,63338,51657,48140,52599,58594,57882,57154,50511,44150,40874,37051,31938,25756,17889,17706,3437,1523,1117,1136,876,1045,1181,1044,1028,953,859,661,455,448,388,238,180,41,1452,1014,955,946,1002,1172,988,816,612,504,442,366,265,201,121,130,54,759603,737525,13173,11040
"G420","1950","Pennsylvania","420",,"Pennsylvania",957321,801449,694076,676944,755241,809426,781516,746292,674207,594059,562454,510849,434252,348009,239965,229822,37966,69124,56609,50674,45717,52757,59953,53160,53163,46951,44054,37547,25372,18020,14515,8411,6780,1357,9853848,644164,6584516,412703,489121,408306,353508,332463,362820,392259,379296,366385,332647,292778,277439,253873,216853,168510,113404,103373,14589,468200,393143,340568,344481,392421,417167,402220,379907,341560,301281,285015,256976,217399,179499,126561,126449,23377,34760,27983,25556,21798,23707,27934,24236,24573,22633,22077,19841,13394,9335,7095,4161,3177,527,34364,28626,25118,23919,29050,32019,28924,28590,24318,21977,17706,11978,8685,7420,4250,3603,830,4857624,4996224,312787,331377
"G440","1950","Rhode Island","440",,"Rhode Island",75111,58997,47523,52723,65165,66907,61287,58025,52573,47748,45749,41388,34414,27645,19424,19012,3324,1701,1411,1298,1212,1590,1453,1045,893,723,741,722,580,499,442,280,241,50,777015,14881,529172,8952,38512,29742,24162,27846,34512,33391,30206,28091,25125,22921,21733,19970,16396,12419,8654,7931,1207,36599,29255,23361,24877,30653,33516,31081,29934,27448,24827,24016,21418,18018,15226,10770,11081,2117,877,693,653,616,919,808,527,439,359,385,384,323,281,228,136,114,23,824,718,645,596,671,645,518,454,364,356,338,257,218,214,144,127,27,382818,394197,7765,7116
"G450","1950","South Carolina","450",,"South Carolina",154696,132233,113475,110752,109921,113869,101212,95554,81964,66177,55730,46943,37648,32151,21233,17572,2275,124907,111811,98825,83523,67093,58564,48115,50939,38963,33791,27701,20709,16907,19976,10828,9052,1918,1293405,823622,760843,390024,79275,67596,57639,56198,55137,56284,50151,47327,40617,32471,27292,22816,17854,14802,9634,7632,848,75421,64637,55836,54554,54784,57585,51061,48227,41347,33706,28438,24127,19794,17349,11599,9940,1427,62560,55683,50070,40576,30511,27396,22689,23613,18295,15376,12727,10107,8161,8932,5221,4364,686,62347,56128,48755,42947,36582,31168,25426,27326,20668,18415,14974,10602,8746,11044,5607,4688,1232,643573,649832,396967,426655
"G460","1950","South Dakota","460",,"South Dakota",73069,57377,49916,48493,48120,47369,43644,40883,37505,35037,34004,31390,27742,21644,14976,14496,2839,3644,3195,3174,2686,1841,1568,1370,1259,990,996,860,722,590,595,357,303,86,628504,24236,390016,11130,37446,29230,25337,24430,24955,24735,22523,20966,19294,18024,17969,16624,14863,11587,8021,7565,1316,35623,28147,24579,24063,23165,22634,21121,19917,18211,17013,16035,14766,12879,10057,6955,6931,1523,1819,1601,1608,1301,899,799,743,655,488,521,457,406,341,316,202,165,45,1825,1594,1566,1385,942,769,627,604,502,475,403,316,249,279,155,138,41,324885,303619,12366,11870
"G470","1950","Tennessee","470",,"Tennessee",316097,272395,240758,226821,222727,226480,203287,197913,177809,149332,128168,109923,90997,80442,55946,53295,7867,63705,50634,45845,43588,42618,40455,36500,39994,35072,31626,27845,20873,15372,16692,9624,9030,1988,2760257,531461,1659758,318790,160817,139029,122864,113230,107703,110051,99352,97770,87811,73175,62862,54213,44243,38541,26916,25177,3372,155280,133366,117894,113591,115024,116429,103935,100143,89998,76157,65306,55710,46754,41901,29030,28118,4495,31945,25101,22811,20829,19448,18936,16911,18371,16451,15007,13636,10728,7765,7866,4755,4538,883,31760,25533,23034,22759,23170,21519,19589,21623,18621,16619,14209,10145,7607,8826,4869,4492,1105,1367126,1393131,255981,275480
