GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B5N001,B5N002,B5N003,B5N004,B5N005,B5N006,B5N007,B5N008,B5N009,B5N010,B5N011,B5N012,B5N013,B5N014,B5N015,B5N016,B5N017,B5N018,B5N019,B5N020,B5N021,B5N022,B5N023,B5N024,B5N025,B5N026,B5N027,B5N028,B5N029,B5N030,B5N031,B5N032,B5N033,B5N034,B5N035,B5N036,B5N037,B5N038,B5N039,B5N040,B5N041,B5N042,B5N043,B5N044,B5N045,B5N046,B5N047,B5N048,B5N049,B5N050,B5N051,B5N052,B5N053,B5N054,B5N055,B5N056,B5N057,B5N058,B5N059,B5N060,B5N061,B5N062,B5N063,B5N064,B5N065,B5N066,B5N067,B5N068,B5N069,B5N070,B5N071,B5N072,B5N073,B5N074,B5N075,B5N076,B5N077,B5N078,B5N079,B5N080,B5N081,B5N082,B5N083,B5N084,B5N085,B5N086,B5N087,B5N088
"G410","1960","Oregon","410",,"Oregon",17855,18001,18364,18528,18819,19049,19339,19226,18358,17753,17745,17453,18125,18076,13951,14046,14580,13693,10956,9330,9032,518761,17128,17547,17780,17816,18189,18236,18372,18553,17802,16925,17249,17034,17618,17398,13373,13573,13899,13984,12311,11134,10327,534749,585,526,527,520,516,518,496,490,421,396,424,379,374,322,300,274,284,246,259,236,230,10588,565,587,526,532,543,462,496,454,427,452,452,356,352,367,262,253,246,260,286,281,247,9333
"G420","1960","Pennsylvania","420",,"Pennsylvania",108107,110781,111567,109178,107814,107321,104074,104671,100932,94464,94895,96500,102234,102107,75779,76777,81063,84848,65792,54192,51713,3149070,103896,107068,107528,104613,103694,103177,100906,100580,96791,90643,91287,92559,98555,97954,72589,74124,79199,84667,72827,64862,62005,3450601,11514,11676,11497,11227,10790,10626,10009,9884,9456,9209,8958,8727,8496,7676,6423,6462,6468,6337,5319,4710,4498,236010,11591,11868,11450,11116,10979,10519,9973,9896,9315,9311,8982,8942,8464,7688,6564,6513,6589,6899,6010,5878,6042,264801
"G440","1960","Rhode Island","440",,"Rhode Island",8974,8802,8978,8666,8574,8527,8097,8046,7518,7339,7346,7460,7765,8135,5874,5990,5982,6494,6719,7320,7279,251380,8672,8609,8541,8343,8270,8187,7846,7752,7454,6935,7029,7219,7663,7600,5868,5719,5998,6417,5824,5212,4985,277304,352,345,335,313,316,286,257,229,245,239,215,224,189,186,167,157,142,141,155,195,218,5674,339,340,355,313,334,280,287,254,243,206,197,210,176,177,130,155,154,167,153,113,167,5446
"G450","1960","South Carolina","450",,"South Carolina",17578,17455,17336,17460,16953,17572,17031,16717,16348,15691,16070,16272,17134,17070,13594,13764,13891,17472,16546,14934,13893,434973,16670,16533,16634,16602,16440,16774,16081,16017,15896,15014,15442,15331,16266,16605,12746,13009,13354,13376,12660,12061,11583,460174,12661,12404,12571,12428,12639,12760,12535,12488,11736,12062,11828,11869,11572,10925,10074,10027,9302,9634,8608,7076,5909,168956,12749,12526,12394,12498,12382,12683,12607,12486,11753,12034,11940,11472,11494,10827,10399,10063,9238,9218,7838,6748,6011,202148
"G460","1960","South Dakota","460",,"South Dakota",8068,7881,8139,7779,8125,7901,7608,7744,7459,7087,7053,6794,6962,6570,5275,5367,5505,5206,4530,4051,3913,191417,7969,7643,7699,7643,7610,7566,7375,7256,7115,6841,6872,6596,6537,6299,5146,5196,5354,5175,4649,4166,3985,187972,545,499,417,425,450,402,427,355,386,352,337,325,333,316,319,308,294,315,273,249,267,6243,524,471,447,400,393,431,406,420,418,362,371,343,357,336,303,308,326,327,265,201,205,5965
"G470","1960","Tennessee","470",,"Tennessee",31730,31541,31555,31566,31515,31957,31031,30483,30125,29076,29912,30594,32776,32653,25200,26267,26613,26728,25930,21871,20321,850064,30348,30276,30282,30599,30453,30794,29947,29796,29156,27755,28699,29789,31263,31258,24858,25370,25598,26091,24000,21753,21206,928954,8589,8253,8232,8172,8242,8283,7747,7379,7280,7028,6950,6666,6446,5808,5097,4918,4685,4934,4539,3910,3602,144422,8798,8451,8353,8462,8257,8232,7857,7556,7268,6801,6949,6677,6325,5747,5128,4920,4966,5150,4561,4153,4092,169451
"G480","1960","Texas","480",,"Texas",102170,101276,101144,99934,99073,99597,96414,95550,91264,86803,86328,85199,87433,87053,68318,69516,69295,68681,66395,60133,55308,2382626,98347,97042,97588,97165,95561,95334,94315,92605,87649,83789,83835,82319,84548,83399,65814,67649,67661,65065,60301,57638,55558,2502139,17804,17654,17424,17081,16757,16413,15558,15397,14152,14257,13524,13167,12426,11471,9940,10047,9517,9916,9474,8532,7572,307388,17830,17331,17112,16995,16731,16364,15494,15294,14275,13987,13693,13299,12339,11384,10215,10182,9528,9365,8896,8638,8299,342124
"G490","1960","Utah","490",,"Utah",12626,12614,12837,12549,12396,12064,11891,11744,11082,10174,10023,9981,10230,9571,7625,7729,8189,7725,6862,6295,5311,226680,12225,12233,12124,12111,11787,11786,11179,11064,10471,9796,9825,9386,9734,9096,7276,7603,7991,7754,7575,7150,6745,232719,310,269,272,280,266,246,241,208,202,200,182,216,177,177,150,139,127,124,122,123,133,4562,255,279,270,252,254,245,250,215,195,243,221,220,168,188,141,138,140,134,140,156,113,3856
"G500","1960","Vermont","500",,"Vermont",4586,4606,4502,4457,4422,4309,4204,4151,4042,3918,3995,4047,4194,4018,3186,3248,3402,3436,3059,2704,2361,110474,4331,4342,4297,4162,4078,4220,3999,3978,3934,3901,3811,3857,3894,3900,3039,3196,3094,3291,3254,2970,2537,119686,15,12,6,7,5,6,9,7,4,8,6,8,7,5,6,7,5,4,7,14,17,257,8,8,12,7,10,9,12,9,4,8,4,9,4,3,3,5,5,4,6,6,3,228
"G510","1960","Virginia","510",,"Virginia",35441,35691,35243,34875,34559,34158,33084,32895,31467,30221,30712,31403,32566,32368,24854,25192,25226,26216,27478,28435,27753,921302,34425,34345,34123,33242,33292,33072,32030,31858,30320,29037,29446,30085,31831,31530,24093,24670,24946,25167,24035,22994,21898,954865,11327,11581,11541,10867,11177,11160,10645,10693,10034,9973,9711,9438,9458,8378,7684,7531,7351,7367,6876,5942,5736,213763,11460,11513,11194,11174,11190,11126,10424,10638,9931,9822,9644,9314,9181,8563,7559,7463,7391,7496,6550,6081,5602,222957
"G530","1960","Washington","530",,"Washington",30734,30601,30895,30597,30358,30495,29461,30324,28606,27683,28188,27588,28669,28801,21980,22273,22583,21404,18508,16717,16823,827973,29274,29251,29582,29543,29218,29352,28981,29029,27758,26813,26950,26719,27955,27590,21096,21652,21741,21426,18582,17077,16639,834186,1562,1631,1513,1540,1513,1406,1301,1318,1123,1177,1138,1109,1047,955,769,693,686,674,637,730,775,30479,1697,1580,1502,1573,1469,1340,1328,1288,1192,1076,1167,1071,1018,937,763,729,674,578,630,581,611,24959
"G540","1960","West Virginia","540",,"West Virginia",18496,19015,19308,18973,18809,19451,18911,19561,19261,18890,19761,20072,20986,20733,16187,16474,16786,16940,13384,10757,9750,498673,17812,18251,18453,18271,18241,18509,18206,18773,18663,18376,19047,19585,20069,20112,15604,15776,16058,16657,14170,11851,11452,535019,1043,1126,1069,1078,1059,1097,1173,1160,1185,1092,1114,1096,1070,1001,842,843,856,845,677,471,418,23542,1061,1039,1028,1088,1075,1150,1139,1087,1075,1117,1071,1058,1029,1031,839,843,881,908,739,538,522,26113
"G550","1960","Wisconsin","550",,"Wisconsin",47199,46879,46340,45292,45284,44648,42794,42631,42339,39412,39215,38478,38940,38090,30305,29985,30522,30941,25242,20905,19798,1132960,45205,45274,44723,43271,43078,42734,41406,41109,40420,37383,37545,36611,37649,36522,28753,28883,29200,30646,27250,24074,23283,1175685,1687,1714,1738,1720,1620,1551,1391,1353,1188,1199,1120,985,994,821,660,691,623,580,553,520,561,23044,1807,1681,1717,1666,1610,1515,1452,1355,1247,1140,1145,1002,937,877,682,662,668,620,639,673,666,22800
"G560","1960","Wyoming","560",,"Wyoming",4049,3973,3961,4002,4028,3956,3830,3788,3702,3475,3512,3520,3489,3370,2639,2652,2745,2692,2271,1807,1802,96086,3948,3892,3830,3860,3821,3867,3748,3700,3438,3363,3311,3375,3329,3075,2428,2563,2669,2525,2182,1943,1895,90811,127,124,115,133,111,110,127,96,114,83,98,88,97,62,58,74,55,59,63,53,46,1773,134,152,110,111,127,109,99,117,100,98,84,103,86,73,49,51,49,48,51,42,50,1635
