GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,B5I001,B5I002,B5I003,B5I004,B5I005,B5I006,B5I007,B5I008,B5I009,B5I010,B5I011,B5I012,B5I013,B5I014,B5I015,B5I016,B5I017,B5I018,B5I019,B5I020,B5I021,B5I022,B5I023,B5I024,B5I025,B5I026,B5I027,B5I028,B5I029,B5I030,B5I031,B5I032,B5I033,B5I034,B5I035,B5I036,B48001,B48002,B49001,B49002,B49003,B49004,B49005,B49006,B49007,B49008,B49009,B49010,B49011,B49012,B49013,B49014,B49015,B49016,B49017,B49018,B49019,B49020,B49021,B49022,B49023,B49024,B49025,B49026,B49027,B49028,B49029,B49030,B49031,B49032,B49033,B49034,B49035,B49036,B49037,B49038,B49039,B49040,B49041,B49042,B49043,B49044,B49045,B49046,B49047,B49048,B49049,B49050,B49051,B49052,B49053,B49054,B49055,B49056,B49057,B49058,B49059,B49060,B49061,B49062,B49063,B49064,B49065,B49066,B49067,B49068,B49069,B49070,B49071,B49072,B5B001,B5B002,B5B003,B5B004
"G400","1960","Oklahoma","400",,"Oklahoma",211361,206412,195766,165660,132295,124786,131151,137352,128201,127386,120198,107912,90393,80980,63711,44435,24680,15221,31386,28087,24707,18393,12882,11838,11552,11811,10630,11210,10353,9969,7762,7359,5335,3796,1937,1377,2107900,220384,107553,105579,99444,84500,68052,61183,64111,67254,62883,62018,58640,51917,43303,37829,29355,20072,10966,6543,103808,100833,96322,81160,64243,63603,67040,70098,65318,65368,61558,55995,47090,43151,34356,24363,13714,8678,15721,14163,12343,9274,6306,5372,5159,5381,4802,5154,4856,4709,3757,3548,2624,1870,924,686,15665,13924,12364,9119,6576,6466,6393,6430,5828,6056,5497,5260,4005,3811,2711,1926,1013,691,1041202,1066698,106649,113735
"G410","1960","Oregon","410",,"Oregon",180027,183613,168022,127506,94002,93140,105320,115814,114622,112206,97979,84133,73913,66282,52967,34544,17993,9954,5427,4612,3588,2625,2450,2506,2612,2713,2261,2021,1622,1309,991,712,595,326,172,108,1732037,36650,91567,93725,85350,62605,44935,45356,51575,56263,56843,56716,49904,42602,36776,32751,25540,16423,8018,4091,88460,89888,82672,64901,49067,47784,53745,59551,57779,55490,48075,41531,37137,33531,27427,18121,9975,5863,2674,2321,1799,1299,1268,1231,1274,1361,1169,1151,927,773,554,374,365,208,103,60,2753,2291,1789,1326,1182,1275,1338,1352,1092,870,695,536,437,338,230,118,69,48,861040,870997,18911,17739
"G420","1960","Pennsylvania","420",,"Pennsylvania",1074246,1003559,924459,738351,562015,587398,703595,757008,737626,688725,608469,529103,463120,407707,311177,197271,101984,58191,113708,98198,80920,61185,53284,58179,64045,65342,55510,50563,42582,39751,29900,22818,14364,8603,3856,2554,10454004,865362,547447,511462,471515,362672,262107,285130,341069,363856,356519,337407,297076,255678,219332,189825,141763,86849,42290,21882,526799,492097,452944,375679,299908,302268,362526,393152,381107,351318,311393,273425,243788,217882,169414,110422,59694,36309,56704,49184,40280,29296,23611,26529,29396,30847,25999,23887,20427,19749,15059,11379,6923,3976,1713,1013,57004,49014,40640,31889,29673,31650,34649,34495,29511,26676,22155,20002,14841,11439,7441,4627,2143,1541,5093879,5360125,415972,449390
"G440","1960","Rhode Island","440",,"Rhode Island",86429,77701,71959,61675,52234,45746,55735,61015,56566,53089,47415,42835,38045,33275,25348,16027,8570,5048,3342,2526,1871,1532,1918,1558,1679,1403,1043,800,657,603,572,455,367,249,126,75,838712,20776,43994,39527,36580,32505,28719,22801,27173,29752,27136,25607,22347,20187,17342,15014,10971,6549,3251,1810,42435,38174,35379,29170,23515,22945,28562,31263,29430,27482,25068,22648,20703,18261,14377,9478,5319,3238,1661,1256,981,790,1136,778,857,731,504,374,300,286,292,248,178,119,54,35,1681,1270,890,742,782,780,822,672,539,426,357,317,280,207,189,130,72,40,411265,427447,10580,10196
"G450","1960","South Carolina","450",,"South Carolina",169661,163141,156530,141067,116141,105273,107203,113057,100615,90484,76129,61137,47816,40352,29236,18898,9403,4879,125252,123144,112400,87752,50661,42084,42307,44539,41807,39023,29756,25446,19570,20309,13532,7887,3539,2564,1551022,831572,86782,83359,80140,76607,61922,52329,53245,55414,50067,44770,37043,28895,21959,17983,12418,7626,3518,1677,82879,79782,76390,64460,54219,52944,53958,57643,50548,45714,39086,32242,25857,22369,16818,11272,5885,3202,62703,61581,56268,44647,24573,19121,18702,20135,19552,18249,13708,11538,8333,8920,5983,3489,1500,1062,62549,61563,56132,43105,26088,22963,23605,24404,22255,20774,16048,13908,11237,11389,7549,4398,2039,1502,775754,775268,400064,431508
"G460","1960","South Dakota","460",,"South Dakota",78556,73952,64104,49199,37067,36048,39071,39474,38268,35843,32870,30407,28178,25547,20619,13164,6801,3930,4571,3959,3340,2866,2098,1775,1507,1368,1146,1040,831,813,650,544,401,279,111,117,653098,27416,39992,37799,32654,24659,18422,17947,19781,20222,19468,18169,16628,15491,14394,12865,10362,6483,3320,1778,38564,36153,31450,24540,18645,18101,19290,19252,18800,17674,16242,14916,13784,12682,10257,6681,3481,2152,2336,1922,1630,1439,1142,831,716,695,577,551,399,427,378,290,235,148,60,61,2235,2037,1710,1427,956,944,791,673,569,489,432,386,272,254,166,131,51,56,330434,322664,13837,13579
"G470","1960","Tennessee","470",,"Tennessee",309865,300120,297002,250221,193514,186333,197282,205813,188612,179773,160756,136089,110557,96101,74101,50465,26190,14959,83809,75431,61793,46736,35521,32232,33030,33214,31941,32798,29282,26375,20129,19045,12814,8320,3852,3014,2977753,589336,157907,152672,151135,127409,93521,89484,95017,99199,91658,88291,78479,65230,51924,44414,33550,22382,11184,6052,151958,147448,145867,122812,99993,96849,102265,106614,96954,91482,82277,70859,58633,51687,40551,28083,15006,8907,41488,37717,30967,22986,16340,14323,14488,14941,14631,15086,13876,12620,9400,9129,6030,3954,1851,1355,42321,37714,30826,23750,19181,17909,18542,18273,17310,17712,15406,13755,10729,9916,6784,4366,2001,1659,1459508,1518245,281182,308154
"G480","1960","Texas","480",,"Texas",989300,923320,814246,652334,548569,547944,574190,577350,507809,489126,429790,369853,293411,246769,186473,122193,64463,37691,172719,151191,121458,94095,77089,76678,77254,72999,64737,63852,56507,50301,38164,36028,24079,14981,7180,5534,8374831,1204846,503597,469628,414331,334020,273052,271449,283251,284850,252240,242109,213911,181495,140369,115549,84996,53220,26698,14745,485703,453692,399915,318314,275517,276495,290939,292500,255569,247017,215879,188358,153042,131220,101477,68973,37765,22946,86720,75777,60528,47486,36704,35720,35537,33991,30439,30218,27235,24592,18643,17338,11567,7230,3342,2404,85999,75414,60930,46609,40385,40958,41717,39008,34298,33634,29272,25709,19521,18690,12512,7751,3838,3130,4159510,4215321,585471,619375
"G490","1960","Utah","490",,"Utah",123502,111251,92747,74873,59263,55823,54478,53301,49315,44084,37994,31678,26450,21837,16965,11258,5802,3207,2707,2245,1840,1343,1267,1188,1253,1234,883,634,464,482,371,321,267,178,78,44,873828,16799,63022,56955,47430,36800,27606,28098,27425,26528,24788,22293,19124,15791,13020,10551,7975,5043,2431,1318,60480,54296,45317,38073,31657,27725,27053,26773,24527,21791,18870,15887,13430,11286,8990,6215,3371,1889,1397,1097,902,635,677,624,621,677,467,347,265,272,184,174,181,126,53,27,1310,1148,938,708,590,564,632,557,416,287,199,210,187,147,86,52,25,17,436198,437630,8726,8073
"G500","1960","Vermont","500",,"Vermont",43783,40656,37941,31654,22330,20965,22851,23829,23095,22195,20907,18714,16511,14948,11962,8510,5054,3187,90,76,55,63,83,78,52,53,36,30,31,34,28,24,25,11,14,6,389092,789,22573,20624,19440,15849,11004,10330,11154,11594,11314,11063,10398,9124,7872,6945,5295,3572,2047,1123,21210,20032,18501,15805,11326,10635,11697,12235,11781,11132,10509,9590,8639,8003,6667,4938,3007,2064,45,34,32,37,59,39,23,27,24,18,16,20,12,11,11,6,6,2,45,42,23,26,24,39,29,26,12,12,15,14,16,13,14,5,8,4,191321,197771,422,367
"G510","1960","Virginia","510",,"Virginia",345236,318142,298888,254359,232123,207478,222444,236638,211896,187451,157849,130485,105082,87614,65616,43742,23655,13745,113024,104446,88930,70048,52635,49649,52050,54276,48975,45015,35494,31188,24178,22584,15364,9301,4397,2952,3142443,824506,175809,161825,151903,132547,125696,104237,110594,115972,106341,93984,78074,63393,49203,39849,28627,18565,9327,5193,169427,156317,146985,121812,106427,103241,111850,120666,105555,93467,79775,67092,55879,47765,36989,25177,14328,8552,56493,52505,44669,35067,26360,23934,24952,26617,24376,22644,17786,15258,11505,10853,7417,4439,2016,1342,56531,51941,44261,34981,26275,25715,27098,27659,24599,22371,17708,15930,12673,11731,7947,4862,2381,1610,1571139,1571304,408233,416273
"G530","1960","Washington","530",,"Washington",300053,288502,265536,201963,166246,158600,172108,190562,183046,171093,146381,125690,107704,96903,79476,53980,28198,15634,15580,12549,9974,6612,7558,7776,7791,7933,6145,4978,4114,3313,2362,1756,1462,907,450,279,2751675,101539,153185,146569,135226,101485,85559,80639,85449,93780,91761,86446,74547,63691,52673,46766,38415,25680,12747,6643,146868,141933,130310,100478,80687,77961,86659,96782,91285,84647,71834,61999,55031,50137,41061,28300,15451,8991,7759,6325,5018,3420,4324,3960,3741,4037,3371,2943,2655,2091,1314,917,887,583,292,139,7821,6224,4956,3192,3234,3816,4050,3896,2774,2035,1459,1222,1048,839,575,324,158,140,1381261,1370414,53776,47763
"G540","1960","West Virginia","540",,"West Virginia",185629,188601,192156,148853,101177,96678,112127,117719,111417,107033,94303,81603,69359,58882,46107,32240,16794,9455,10666,11275,10151,7601,4005,3413,4531,4812,4787,5138,5157,5176,4538,3907,2560,1543,608,420,1770133,90288,94601,96074,97739,74341,47433,45169,53248,56375,53614,52797,46726,39974,34084,28794,22523,15566,7906,4214,91028,92527,94417,74512,53744,51509,58879,61344,57803,54236,47577,41629,35275,30088,23584,16674,8888,5241,5375,5707,5123,3692,1822,1408,1798,2054,2146,2361,2460,2558,2378,2194,1433,838,292,218,5291,5568,5028,3909,2183,2005,2733,2758,2641,2777,2697,2618,2160,1713,1127,705,316,202,871178,898955,43857,46431
"G550","1960","Wisconsin","550",,"Wisconsin",452545,414876,362108,277648,215900,219326,238420,245289,238216,229986,208120,188560,168225,148217,115412,74609,38936,22510,16960,13391,9223,6229,6931,7852,7554,6271,4600,3818,2928,2403,1662,1306,833,528,239,146,3858903,92874,230994,211824,185028,137595,102787,109331,119028,120796,117309,114297,104248,94276,82989,71842,55259,34085,17270,9241,221551,203052,177080,140053,113113,109995,119392,124493,120907,115689,103872,94284,85236,76375,60153,40524,21666,13269,8479,6682,4580,2967,3238,3702,3769,3197,2379,1977,1552,1282,914,689,429,268,126,83,8481,6709,4643,3262,3693,4150,3785,3074,2221,1841,1376,1121,748,617,404,260,113,63,1918199,1940704,46313,46561
"G560","1960","Wyoming","560",,"Wyoming",39364,36867,32048,24049,19047,20473,22242,22341,20381,19174,16318,13408,11657,9866,7474,4641,2273,1299,1244,1053,798,545,534,468,476,406,373,265,237,226,164,131,109,72,23,20,322922,7144,20013,18751,16530,12167,9235,10220,11514,11306,10517,9871,8673,7059,6251,5238,3949,2367,1081,607,19351,18116,15518,11882,9812,10253,10728,11035,9864,9303,7645,6349,5406,4628,3525,2274,1192,692,610,530,403,304,285,218,234,204,185,145,134,120,96,66,63,43,13,13,634,523,395,241,249,250,242,202,188,120,103,106,68,65,46,29,10,7,165349,157573,3666,3478
